Date/Heure (UTC),Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Année,Mois,Jour,Heure (UTC),Temp (°C),Temp Indicateur,Point de rosée (°C),Point de rosée Indicateur,Hum. rel (%),Hum. rel. Indicateur,Hauteur de précip. (mm),Hauteur de précip. Indicateur,Dir. du vent (10s deg),Dir. du vent Indicateur,Vit. du vent (km/h),Vit. du vent Indicateur,Visibilité (km),Visibilité Indicateur,Pression à la station (kPa),Pression à la station Indicateur,Hmdx,Hmdx Indicateur,Refroid. éolien,Refroid. éolien Indicateur,Temps
2020-01-01 00:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,00:00,"0,5",,"-0,3",,94.0,,,,9.0,,5.0,,"2,4",,"99,44",,,,,,Neige
2020-01-01 01:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,01:00,"0,6",,"0,0",,96.0,,,,16.0,,13.0,,"4,0",,"99,41",,,,,,Neige
2020-01-01 02:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,02:00,"0,5",,"-0,3",,95.0,,,,24.0,,19.0,,"24,1",,"99,38",,,,,,Neige
2020-01-01 03:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,03:00,"0,5",,"-1,0",,90.0,,,,25.0,,19.0,,"12,9",,"99,38",,,,,,Neige
2020-01-01 04:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,04:00,"0,3",,"-1,2",,90.0,,,,24.0,,20.0,,"9,7",,"99,35",,,,,,Neige
2020-01-01 05:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,05:00,"0,0",,"-2,0",,87.0,,,,24.0,,17.0,,"19,3",,"99,29",,,,-5.0,,ND
2020-01-01 06:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,06:00,"0,0",,"-2,1",,86.0,,,,23.0,,19.0,,"24,1",,"99,27",,,,-5.0,,Nuageux
2020-01-01 07:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,07:00,"0,0",,"-1,8",,88.0,,,,23.0,,17.0,,"6,4",,"99,29",,,,-5.0,,Neige
2020-01-01 08:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,08:00,"-0,3",,"-1,4",,92.0,,,,23.0,,18.0,,"8,1",,"99,28",,,,-5.0,,Neige
2020-01-01 09:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,09:00,"-0,4",,"-1,7",,91.0,,,,23.0,,20.0,,"6,4",,"99,26",,,,-6.0,,Neige
2020-01-01 10:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,10:00,"-0,4",,"-2,2",,88.0,,,,23.0,,24.0,,"8,1",,"99,24",,,,-6.0,,Neige
2020-01-01 11:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,11:00,"-0,8",,"-2,0",,91.0,,,,25.0,,25.0,,"2,4",,"99,26",,,,-7.0,,Neige
2020-01-01 12:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,12:00,"-0,8",,"-2,3",,90.0,,,,26.0,,24.0,,"4,8",,"99,30",,,,-7.0,,Neige
2020-01-01 13:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,13:00,"-0,6",,"-2,4",,88.0,,,,26.0,,20.0,,"24,1",,"99,36",,,,-6.0,,Neige
2020-01-01 14:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,14:00,"-0,2",,"-2,3",,86.0,,,,25.0,,19.0,,"24,1",,"99,44",,,,-5.0,,ND
2020-01-01 15:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,15:00,"0,2",,"-2,4",,83.0,,,,26.0,,27.0,,"24,1",,"99,51",,,,,,Nuageux
2020-01-01 16:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,16:00,"0,5",,"-2,0",,83.0,,,,27.0,,19.0,,"24,1",,"99,53",,,,,,ND
2020-01-01 17:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,17:00,"0,8",,"-1,9",,82.0,,,,25.0,,28.0,,"24,1",,"99,52",,,,,,ND
2020-01-01 18:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,18:00,"1,0",,"-2,3",,78.0,,,,26.0,,24.0,,"24,1",,"99,53",,,,,,Généralement nuageux
2020-01-01 19:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,19:00,"0,6",,"-2,6",,79.0,,,,26.0,,27.0,,"24,1",,"99,57",,,,,,ND
2020-01-01 20:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,20:00,"0,7",,"-1,5",,85.0,,,,25.0,,22.0,,"24,1",,"99,65",,,,,,ND
2020-01-01 21:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,21:00,"0,0",,"-2,0",,87.0,,,,26.0,,23.0,,"24,1",,"99,74",,,,-6.0,,Généralement nuageux
2020-01-01 22:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,22:00,"0,4",,"-1,4",,87.0,,,,25.0,,21.0,,"24,1",,"99,84",,,,,,ND
2020-01-01 23:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,1,23:00,"0,6",,"-1,2",,88.0,,,,25.0,,18.0,,"24,1",,"99,90",,,,,,ND
2020-01-02 00:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,00:00,"0,7",,"-1,0",,88.0,,,,24.0,,25.0,,"24,1",,"99,95",,,,,,Nuageux
2020-01-02 01:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,01:00,"0,7",,"-1,2",,87.0,,,,25.0,,25.0,,"24,1",,"100,00",,,,,,ND
2020-01-02 02:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,02:00,"0,5",,"-2,1",,83.0,,,,24.0,,25.0,,"24,1",,"100,04",,,,,,ND
2020-01-02 03:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,03:00,"0,2",,"-2,3",,84.0,,,,25.0,,22.0,,"9,7",,"100,09",,,,,,Neige
2020-01-02 04:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,04:00,"0,0",,"-2,6",,83.0,,,,25.0,,25.0,,"24,1",,"100,13",,,,-6.0,,ND
2020-01-02 05:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,05:00,"-0,2",,"-2,7",,83.0,,,,25.0,,25.0,,"24,1",,"100,15",,,,-6.0,,ND
2020-01-02 06:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,06:00,"-0,3",,"-3,1",,81.0,,,,25.0,,20.0,,"24,1",,"100,19",,,,-6.0,,Nuageux
2020-01-02 07:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,07:00,"-0,4",,"-3,7",,78.0,,,,25.0,,23.0,,"24,1",,"100,25",,,,-6.0,,ND
2020-01-02 08:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,08:00,"-0,2",,"-4,0",,76.0,,,,24.0,,27.0,,"24,1",,"100,30",,,,-6.0,,ND
2020-01-02 09:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,09:00,"-0,8",,"-4,5",,76.0,,,,23.0,,21.0,,"24,1",,"100,33",,,,-6.0,,Nuageux
2020-01-02 10:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,10:00,"-1,4",,"-4,9",,77.0,,,,23.0,,18.0,,"24,1",,"100,33",,,,-7.0,,ND
2020-01-02 11:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,11:00,"-1,8",,"-4,9",,79.0,,,,24.0,,10.0,,"24,1",,"100,35",,,,-5.0,,ND
2020-01-02 12:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,12:00,"-1,2",,"-5,1",,75.0,,,,28.0,,3.0,,"24,1",,"100,36",,,,-2.0,,Nuageux
2020-01-02 13:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,13:00,"-0,8",,"-4,0",,80.0,,,,22.0,,4.0,,"24,1",,"100,37",,,,-2.0,,ND
2020-01-02 14:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,14:00,"-0,6",,"-3,6",,80.0,,,,13.0,,7.0,,"24,1",,"100,41",,,,-3.0,,ND
2020-01-02 15:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,15:00,"-0,1",,"-3,4",,79.0,,,,13.0,,13.0,,"24,1",,"100,36",,,,-4.0,,Nuageux
2020-01-02 16:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,16:00,"0,4",,"-2,6",,80.0,,,,14.0,,13.0,,"24,1",,"100,26",,,,,,ND
2020-01-02 17:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,17:00,"1,2",,"-1,9",,80.0,,,,14.0,,12.0,,"24,1",,"100,19",,,,,,ND
2020-01-02 18:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,18:00,"1,8",,"-1,7",,78.0,,,,15.0,,9.0,,"24,1",,"100,13",,,,,,Nuageux
2020-01-02 19:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,19:00,"2,4",,"-1,4",,76.0,,,,14.0,,13.0,,"24,1",,"100,11",,,,,,ND
2020-01-02 20:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,20:00,"2,3",,"-1,2",,77.0,,,,14.0,,13.0,,"48,3",,"100,09",,,,,,ND
2020-01-02 21:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,21:00,"1,9",,"-1,4",,79.0,,,,14.0,,11.0,,"48,3",,"100,08",,,,,,Généralement nuageux
2020-01-02 22:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,22:00,"2,1",,"-1,3",,78.0,,,,15.0,,14.0,,"24,1",,"100,12",,,,,,ND
2020-01-02 23:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,2,23:00,"2,2",,"-1,0",,79.0,,,,15.0,,19.0,,"24,1",,"99,95",,,,,,ND
2020-01-03 00:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,00:00,"2,5",,"-0,9",,79.0,,,,15.0,,23.0,,"24,1",,"99,96",,,,,,Nuageux
2020-01-03 01:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,01:00,"2,3",,"-0,7",,80.0,,,,14.0,,21.0,,"24,1",,"99,92",,,,,,ND
2020-01-03 02:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,02:00,"2,6",,"-0,7",,79.0,,,,17.0,,12.0,,"24,1",,"100,00",,,,,,ND
2020-01-03 03:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,03:00,"2,2",,"-0,7",,81.0,,,,14.0,,13.0,,"24,1",,"99,95",,,,,,Généralement nuageux
2020-01-03 04:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,04:00,"2,3",,"-0,8",,80.0,,,,17.0,,14.0,,"24,1",,"99,91",,,,,,ND
2020-01-03 05:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,05:00,"1,8",,"-0,9",,83.0,,,,24.0,,5.0,,"24,1",,"99,91",,,,,,ND
2020-01-03 06:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,06:00,"3,1",,"-1,2",,73.0,,,,24.0,,15.0,,"24,1",,"99,92",,,,,,Nuageux
2020-01-03 07:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,07:00,"4,1",,"-1,4",,67.0,,,,21.0,,10.0,,"24,1",,"99,95",,,,,,ND
2020-01-03 08:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,08:00,"3,4",,"-0,8",,74.0,,,,22.0,,11.0,,"24,1",,"100,00",,,,,,ND
2020-01-03 09:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,09:00,"3,6",,"-0,5",,74.0,,,,22.0,,9.0,,"24,1",,"100,01",,,,,,Nuageux
2020-01-03 10:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,10:00,"3,5",,"-0,3",,77.0,,,,21.0,,5.0,,"24,1",,"100,04",,,,,,ND
2020-01-03 11:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,11:00,"4,1",,"-0,2",,73.0,,,,21.0,,14.0,,"24,1",,"100,04",,,,,,ND
2020-01-03 12:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,12:00,"3,9",,"-0,2",,75.0,,,,24.0,,3.0,,"24,1",,"100,03",,,,,,Nuageux
2020-01-03 13:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,13:00,"3,8",,"0,2",,77.0,,,,22.0,,9.0,,"24,1",,"100,02",,,,,,ND
2020-01-03 14:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,14:00,"3,8",,"0,8",,81.0,,,,21.0,,18.0,,"24,1",,"100,09",,,,,,ND
2020-01-03 15:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,15:00,"4,0",,"1,0",,81.0,,,,24.0,,18.0,,"24,1",,"100,13",,,,,,Nuageux
2020-01-03 16:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,16:00,"4,2",,"1,1",,80.0,,,,23.0,,17.0,,"24,1",,"100,09",,,,,,ND
2020-01-03 17:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,17:00,"4,3",,"1,3",,81.0,,,,24.0,,21.0,,"24,1",,"100,07",,,,,,ND
2020-01-03 18:00:00,"-73,74","45,47",MONTREAL INTL A,7025251,2020,1,3,18:00,"4,1",,"1,2",,82.0,,,,22.0,,13.0,,"24,1",,"100,03",,,,,,Nuageux
