,no_station_3,no2_station_3,pm2_5_station_3,o3_station_3,so2_station_3,Benzene_station_3,Toluene_station_3,Ethylbenzene_station_3,M P-Xylene_station_3,no_station_6,so2_station_6,co_station_17,no_station_17,co_station_28,no_station_28,pm2_5_station_28,pst_station_28,co_station_31,no_station_31,no2_station_31,pm2_5_station_31,so2_station_31,pst_station_50,no_station_55,co_station_66,no_station_66,no_station_80,so2_station_80,no_station_99,no2_station_99,o3_station_99,so2_station_99,no_station_103,no2_station_103,pm2_5_station_103,pst_station_103,Temp (°C),Hum. rel (%),Dir. du vent (10s deg),Vit. du vent (km/h),Visibilité (km),Pression à la station (kPa),Hmdx,Refroid. éolien
2020-01-01 00:00:00,0.121867,8.667018,8.746077,15.65643,0.0,5.743625,2.754026,0.355111,6.189929,0.992195,0.134042,197.9409,1.036638,218.533,2.377201,7.160319,11.43433,187.0755,1.716709,11.36812,3.05034,0.067457,5.137083,0.0,191.1559,2.400096,0.4,0.0,0.0,3.248914,20.53666,0.0,0.0,4.582468,4.249444,5.496387,0.5,94.0,9.0,5.0,2.4,99.44,25.0,-5.0
2020-01-01 01:00:00,0.121867,8.667018,8.746077,15.65643,0.0,5.743625,2.754026,0.355111,6.189929,0.992195,0.134042,197.9409,1.036638,218.533,2.377201,7.160319,11.43433,187.0755,1.716709,11.36812,3.05034,0.067457,5.137083,0.0,191.1559,2.400096,0.4,0.0,0.0,3.248914,20.53666,0.0,0.0,4.582468,4.249444,5.496387,0.6,96.0,16.0,13.0,4.0,99.41,25.0,-5.0
2020-01-01 02:00:00,0.070021,5.937763,5.5934,16.69138,0.0,1.40336,1.692388,0.479124,17.34458,1.382961,0.154122,201.3926,1.098068,245.3478,4.345022,9.995554,15.12767,211.1832,2.783417,12.91279,4.725276,0.062352,8.270277,0.110302,182.2706,2.205138,0.4,0.0,0.0,3.324254,20.5298,0.0,0.0,4.323431,5.813416,8.411389,0.5,95.0,24.0,19.0,24.1,99.38,25.0,-5.0
2020-01-01 03:00:00,0.847384,10.14027,6.916233,13.30661,0.0,1.384068,1.533221,0.363582,13.26551,1.067867,0.137112,193.725,0.791505,215.7029,2.681587,9.321944,14.9295,191.0712,2.07082,11.36045,4.65143,0.063528,9.178889,0.0,173.8687,0.929831,0.4,0.0,0.0,3.744425,19.87264,0.0,0.076251,4.195025,5.367332,8.120139,0.5,90.0,25.0,19.0,12.9,99.38,25.0,-5.0
2020-01-01 04:00:00,0.343275,6.808739,6.848,15.83292,0.0,1.364819,1.456055,0.346235,11.88057,0.780547,0.160881,175.4214,1.241672,205.552,1.546072,9.860887,14.42566,187.9431,1.523632,9.892995,4.577361,0.081821,9.271305,0.0,165.41,4.175745,0.4,0.0,0.0,3.026699,21.03147,0.0,0.0,4.036451,4.810264,6.188667,0.3,90.0,24.0,20.0,9.7,99.35,25.0,-5.0
2020-01-01 05:00:00,0.085947,4.765573,6.238298,17.40574,0.0,0.785679,1.041375,0.248069,9.535387,0.590233,0.133658,171.2454,2.228174,174.3729,1.219712,8.256236,12.55633,181.974,1.664541,9.037727,4.542984,0.060173,8.85895,0.0,165.181,3.758093,0.4,0.0,0.0,1.800147,21.96484,0.0,0.0,3.402587,4.696846,7.290452,0.0,87.0,24.0,17.0,19.3,99.29,25.0,-5.0
2020-01-01 06:00:00,0.500375,6.427351,5.181798,16.01962,0.0,1.363111,1.365097,0.336055,11.88513,0.62388,0.131111,164.3729,0.838836,164.3397,0.654995,6.171054,8.739333,163.7993,1.375612,8.365621,3.43911,0.061271,8.443609,0.003266,193.8433,7.105805,0.4,0.0,0.0,1.448858,21.95526,0.0,0.0,3.067027,3.532958,11.29922,0.0,86.0,23.0,19.0,24.1,99.27,25.0,-5.0
2020-01-01 07:00:00,0.339138,5.266952,3.737498,16.55833,0.0,4.344375,1.839236,0.284125,8.96893,0.841964,0.113269,150.884,4.004221,167.7326,1.090064,4.574915,5.980833,169.4371,1.652137,9.224268,2.630347,0.067111,5.075055,0.047577,168.7455,20.99384,0.4,0.0,0.0,1.528918,21.01564,0.0,0.0,3.106982,2.899749,4.716111,0.0,88.0,23.0,17.0,6.4,99.29,25.0,-5.0
2020-01-01 08:00:00,0.0,2.326473,2.767199,18.37426,0.0,2.343888,2.003875,0.241971,1.623972,2.864497,0.141479,147.951,0.95876,164.2961,0.963428,3.539335,4.465,172.8739,1.52493,6.84215,1.697077,0.05995,3.710833,0.065268,169.096,23.31242,0.4,0.0,0.0,2.002443,20.06366,0.0,0.201211,4.265357,2.271454,3.506526,-0.3,92.0,23.0,18.0,8.1,99.28,25.0,-5.0
2020-01-01 09:00:00,0.250407,2.275458,3.048666,17.8494,0.0,0.838998,1.985097,0.240735,0.83736,1.367223,0.130838,144.5336,3.222209,159.4176,1.099974,3.800512,4.756,160.5796,1.632241,4.309062,1.305961,0.06103,2.930972,0.330121,188.5087,15.80383,0.615206,0.0,0.132183,1.809726,20.15275,0.0,1.481192,6.10458,3.039213,4.24986,-0.4,91.0,23.0,20.0,6.4,99.26,25.0,-6.0
